index,cntry_name,cntry_iso,catalog_id,id_number,latitude,longitude,flr_volume,avg_temp,ellip,dtc_freq,clr_obs,flr_type,queue
2760,United States,USA,USA_UPS_2015_102.9230W_47.9341N_v0.2,646,47.934056,-102.923001,0.011360785,1956.04,2.79655,42.8571,280,upstream,True
2761,Indonesia,IDN,IDN_UPS_2017_104.0096E_2.9454S_v0.2,9277,-2.94537,104.009586,0.011346138,1851.78,1.58973,66.0,100,upstream,True
2762,United States,USA,USA_UPS_2015_102.6011W_47.7130N_v0.2,871,47.71304,-102.601131,0.011344377,1920.28,1.82443,41.3669,278,upstream,True
2763,Indonesia,IDN,IDN_UPS_2015_112.9185E_6.6590S_v0.2,9373,-6.658976,112.918481,0.011333193,1769.04,1.63406,72.5806,186,upstream,True
2764,Mexico,MEX,MEX_UPS_2015_92.4758W_17.8954N_v0.2,3224,17.89536,-92.475846,0.011324593,1599.16,1.6015,58.1395,215,upstream,True
2765,Oman,OMN,OMN_UPS_2015_55.7983E_21.1981N_v0.2,6869,21.198145,55.798336,0.011323184,1787.0,1.28259,53.9945,363,upstream,True
2766,United States,USA,USA_UPS_2015_98.4380W_28.5873N_v0.2,2677,28.587273,-98.43799,0.011322832,1926.61,2.19501,48.0851,235,upstream,True
2767,Ecuador,ECU,ECU_UPS_2015_76.9373W_0.3462S_v0.2,3706,-0.346173,-76.937321,0.011314084,1919.3,1.58592,60.3448,58,upstream,True
2768,United States,USA,USA_UPS_2019_93.3962W_32.1287N_v0.2,3050,32.128706,-93.396242,0.011311413,1511.5,1.6015,4.83871,248,upstream,True
2769,Democratic Republic of the Congo,COD,COD_UPS_2015_12.3994E_5.9084S_v0.2,5243,-5.908431,12.399397,0.011301463,1714.67,1.6602,66.9643,112,upstream,True
2770,Russian Federation,RUS,RUS_UPS_2015_72.3834E_60.6083N_v0.2,7112,60.608281,72.38336,0.011300523,1942.45,2.27184,57.4545,275,upstream,True
2771,United States,USA,USA_UPS_2017_102.0424W_32.0093N_v0.2,2113,32.009305,-102.042354,0.011297353,1867.97,3.35887,26.3345,281,upstream,True
2772,United States,USA,USA_UPS_2015_103.3224W_47.9939N_v0.2,505,47.99395,-103.322392,0.011287637,1948.59,1.77724,33.7838,296,upstream,True
2773,United States,USA,USA_UPS_2019_96.6519W_30.7601N_v0.2,2946,30.760065,-96.651874,0.011286757,1922.82,1.69484,47.9339,242,upstream,True
2774,United States,USA,USA_UPS_2015_102.7187W_47.6461N_v0.2,793,47.646113,-102.718705,0.011278303,1914.38,1.85843,51.3699,292,upstream,True
2775,United States,USA,USA_UPS_2015_149.6090W_70.3211N_v0.2,7,70.321144,-149.608991,0.011269145,1885.05,1.6015,67.5214,351,upstream,True
